royal blue,#2b60de
rubber ducky yellow,#ffd801
ruby red,#f62217
rust,#c36241
saffron,#fbb917
sage green,#848b79
salad green,#a1c935
sand,#c2b280
sandstone,#786d5f
sandy brown,#ee9a4d
sangria,#7e3817
sapphire blue,#2554c7
scarlet,#ff2400
school bus yellow,#e8a317
sea blue,#c2dfff
sea green,#4e8975
sea turtle green,#438d80
seashell,#fff5ee
seaweed green,#437c17
sedona,#cc6600
sepia,#7f462c
shamrock green,#347c17
shocking orange,#e55b3c
sienna,#8a4117
silk blue,#488ac7
sky blue,#6698ff
slate blue,#737ca1
slate gray,#657383
slime green,#bce954
smokey gray,#726e6d
spring green,#4aa02c
steel blue,#4863a0
stoplight go green,#57e964
sun yellow,#ffe87c
sunrise orange,#e67451
tan brown,#ece5b6
tangerine,#e78a61
taupe,#483c32
tea green,#ccfb5d
teal,#008080
thistle,#d2b9d3
tiffany blue,#81d8d0
tiger orange,#c88141
tron blue,#7dfdfe
tulip pink,#c25a7c
turquoise,#43c6db
tyrian purple,#c45aec
valentine red,#e55451
vampire gray,#565051
vanilla,#f3e5ab
velvet maroon,#7e354d
venom green,#728c00
viola purple,#7e587e
violet red,#f6358a
violet,#8d38c9
water,#ebf4fa
watermelon pink,#fc6c85
white,#ffffff
windows blue,#357ec7
wisteria purple,#c6aec7
wood,#966f33
yellow green,#52d017
yellow,#ffff00
zombie green,#54c571
